topicId,words..
1,the to mr of you that is have i hubert
2,the and to he that said mrs she was oswald
3,dallas a the on w this m police who in
4,the was president to governor connally sa he by kennedy
5,the of and mr be to commission texas witnesses for
6,the he of a was to that on stated she
7,to det h j c r e l at d
8,and in of at on s with had from his
9,the of and was dr a in were by president
10,to i and the a that for we mrs by
