topicId,words..
1,president kennedy mrs car governor sa connally left seat agent
2,dallas texas stated street police man november time building office
3,mr commission witnesses det depositions hubert dallas lt department staff
4,dr president room wound arrived emergency blood hospital chest doctors
5,mrs oswald lee mr ray marina bouhe russian party oswalds
