topicId,words..
1,mrs oswald lee ray marina bouhe russian party mr oswalds
2,mr department hubert office chief crull report general city police
3,left kellerman back white service advised motorcade car area stated
4,mr commission oswald witnesses staff depositions taking assassination testimony lee
5,president mrs governor connally sa kennedy car hospital seat johnson
6,president november time kennedy shot mrs agent heard told people
7,police street approximately found bullet floor time officer special front
8,dallas texas street april stated witnesses davis office mrs department
9,dr president blood arrived doctors surgery wound room clark november
10,det lt dr ruby res ptn dallas capt sgt griffin
